t_s,q_NB_w,q_NB_x,q_NB_y,q_NB_z,omega_BN_B_x_radps,omega_BN_B_y_radps,omega_BN_B_z_radps,H_B_x_Nms,H_B_y_Nms,H_B_z_Nms,H_I_x_Nms,H_I_y_Nms,H_I_z_Nms,H_I_mag_Nms,KE_rot_J
0,0.5,0.5,0.5,0.5,0,0.1,0.2,0,1.5,4,4,0,1.5,4.272,0.475
0.01,0.49925,0.50025,0.49975,0.50075,-0.0001,0.0999999,0.2,-0.001,1.5,4,4,3.96384e-16,1.5,4.272,0.475
0.02,0.498499,0.500498,0.499498,0.501499,-0.0002,0.0999997,0.2,-0.002,1.5,4,4,1.04083e-16,1.5,4.272,0.475
0.03,0.497748,0.500746,0.499246,0.502248,-0.000299999,0.0999994,0.2,-0.00299999,1.49999,4,4,5.22152e-16,1.5,4.272,0.475
0.04,0.496997,0.500993,0.498993,0.502997,-0.000399999,0.0999989,0.2,-0.00399999,1.49998,4,4,5.58581e-16,1.5,4.272,0.475
0.05,0.496245,0.501239,0.498739,0.503745,-0.000499997,0.0999983,0.2,-0.00499997,1.49998,4.00001,4,9.71445e-16,1.5,4.272,0.475
0.06,0.495493,0.501484,0.498484,0.504493,-0.000599996,0.0999976,0.2,-0.00599996,1.49996,4.00001,4,9.02056e-16,1.5,4.272,0.475
0.07,0.494741,0.501729,0.498229,0.505241,-0.000699993,0.0999967,0.200001,-0.00699993,1.49995,4.00001,4,2.74086e-16,1.5,4.272,0.475
0.08,0.493988,0.501972,0.497972,0.505988,-0.00079999,0.0999957,0.200001,-0.0079999,1.49994,4.00002,4,3.67761e-16,1.5,4.272,0.475
0.09,0.493235,0.502215,0.497715,0.506735,-0.000899985,0.0999946,0.200001,-0.00899985,1.49992,4.00002,4,6.10623e-16,1.5,4.272,0.475
0.1,0.492481,0.502456,0.497456,0.507481,-0.00099998,0.0999933,0.200001,-0.0099998,1.4999,4.00002,4,1.5335e-15,1.5,4.272,0.475
0.11,0.491728,0.502697,0.497197,0.508227,-0.00109997,0.0999919,0.200002,-0.0109997,1.49988,4.00003,4,1.45023e-15,1.5,4.272,0.475
0.12,0.490973,0.502937,0.496937,0.508973,-0.00119997,0.0999904,0.200002,-0.0119997,1.49986,4.00004,4,1.72085e-15,1.5,4.272,0.475
0.13,0.490219,0.503176,0.496676,0.509718,-0.00129996,0.0999887,0.200002,-0.0129996,1.49983,4.00004,4,2.15106e-15,1.5,4.272,0.475
0.14,0.489464,0.503414,0.496414,0.510463,-0.00139994,0.0999869,0.200002,-0.0139994,1.4998,4.00005,4,2.46331e-15,1.5,4.272,0.475
0.15,0.488709,0.503652,0.496151,0.511207,-0.00149993,0.099985,0.200003,-0.0149993,1.49978,4.00006,4,2.27596e-15,1.5,4.272,0.475
0.16,0.487953,0.503888,0.495888,0.511951,-0.00159992,0.0999829,0.200003,-0.0159992,1.49974,4.00006,4,3.02536e-15,1.5,4.272,0.475
0.17,0.487197,0.504124,0.495623,0.512695,-0.0016999,0.0999807,0.200004,-0.016999,1.49971,4.00007,4,3.15026e-15,1.5,4.272,0.475
0.18,0.486441,0.504359,0.495358,0.513438,-0.00179988,0.0999784,0.200004,-0.0179988,1.49968,4.00008,4,3.56659e-15,1.5,4.272,0.475
0.19,0.485684,0.504593,0.495092,0.514181,-0.00189986,0.0999759,0.200005,-0.0189986,1.49964,4.00009,4,3.44169e-15,1.5,4.272,0.475
0.2,0.484927,0.504826,0.494824,0.514923,-0.00199984,0.0999733,0.200005,-0.0199984,1.4996,4.0001,4,3.38618e-15,1.5,4.272,0.475
0.21,0.484169,0.505058,0.494556,0.515665,-0.00209981,0.0999706,0.200006,-0.0209981,1.49956,4.00011,4,4.6213e-15,1.5,4.272,0.475
0.22,0.483412,0.505289,0.494287,0.516407,-0.00219979,0.0999677,0.200006,-0.0219979,1.49952,4.00012,4,4.55191e-15,1.5,4.272,0.475
0.23,0.482654,0.50552,0.494018,0.517148,-0.00229975,0.0999647,0.200007,-0.0229975,1.49947,4.00013,4,4.81559e-15,1.5,4.272,0.475
0.24,0.481895,0.505749,0.493747,0.517889,-0.00239972,0.0999616,0.200007,-0.0239972,1.49942,4.00014,4,5.19029e-15,1.5,4.272,0.475
0.25,0.481136,0.505978,0.493475,0.518629,-0.00249969,0.0999583,0.200008,-0.0249969,1.49938,4.00016,4,5.21805e-15,1.5,4.272,0.475
0.26,0.480377,0.506206,0.493203,0.519369,-0.00259965,0.0999549,0.200008,-0.0259965,1.49932,4.00017,4,5.4956e-15,1.5,4.272,0.475
0.27,0.479618,0.506433,0.49293,0.520109,-0.0026996,0.0999514,0.200009,-0.026996,1.49927,4.00018,4,6.05072e-15,1.5,4.272,0.475
0.28,0.478858,0.506659,0.492655,0.520848,-0.00279956,0.0999477,0.20001,-0.0279956,1.49922,4.0002,4,6.02296e-15,1.5,4.272,0.475
